org_id,name,description,business_goal,progress,start_date,end_date
1,Increase Plant Availability,Effort to increase the availability of all plants.,Increase the availability of all plants to 95%.,0,7/23/2015,9/28/2015
2,Inventory Reduction,Reduce inventory in all warehouses,Reduce inventory by 20%,0,6/17/2015,12/11/2015
3,Logistics - Northwest,Improve logistics in facilities in Northwest,Improve logistics in facilities in Northwest,0,2/9/2015,1/1/2016
1,Plant closing,Effort to increase the availability of all plants.,Increase the availability of all plants to 95%.,25,1/27/2015,5/1/2015
2,Inventory Reduction,Reduce inventory in all warehouses,Reduce inventory by 20%,50,11/16/2015,1/20/2016
3,Logistics - Northwest,Improve logistics in facilities in Northwest,Improve logistics in facilities in Northwest,75,1/6/2016,7/26/2016
1,Plant closing,Close least efficient plants,Goal TBD,100,7/18/2015,5/4/2016
2,Internet of Things,Effort to increase the availability of all plants.,Goal TBD,10,12/2/2015,10/24/2016
3,Lean operations,Reduce inventory in all warehouses,Goal TBD,20,3/12/2015,11/21/2015
1,Logistics - Northwest,Improve logistics in facilities in Northwest,Goal TBD,50,4/29/2015,1/11/2016
2,Plant closing,Reduce inventory in all warehouses,Goal TBD,75,9/20/2015,6/5/2016
3,Optimize supply chain,Improve logistics in facilities in Northwest,Goal TBD,100,1/19/2015,4/17/2015
4,Lean operations,Effort to increase the availability of all plants.,Goal TBD,10,8/19/2015,6/29/2016
5,Logistics - Northwest,Reduce inventory in all warehouses,Reduce inventory by 20%,20,1/24/2015,11/30/2015
6,Plant closing,Improve logistics in facilities in Northwest,Reduce inventory by 20%,50,1/7/2015,2/14/2015
1,Optimize supply chain,Close least efficient plants,Reduce inventory by 20%,75,4/7/2015,10/18/2015
2,Lean operations,Effort to increase the availability of all plants.,Reduce inventory by 20%,100,3/1/2016,5/15/2016
3,RFID tagging of inventory,Reduce inventory in all warehouses,Reduce inventory by 20%,10,7/3/2015,10/7/2015
